Security_ID,Vendor_ID,Vendor_Code,Source_Feed_ID,Price_Type,Exchange_Code,Price_Date,Currency_Code,Price
AMZN,101,AV,1,Low,NASDAQ,2025-09-02,USD,221.83
AMZN,101,AV,1,Open,NASDAQ,2025-09-03,USD,225.21
AMZN,101,AV,1,Close,NASDAQ,2025-09-03,USD,225.99
AMZN,101,AV,1,High,NASDAQ,2025-09-03,USD,227.1699
AMZN,101,AV,1,Low,NASDAQ,2025-09-03,USD,224.36
AMZN,101,AV,1,Open,NASDAQ,2025-09-04,USD,231.185
AMZN,101,AV,1,Close,NASDAQ,2025-09-04,USD,235.68
AMZN,101,AV,1,High,NASDAQ,2025-09-04,USD,235.77
AMZN,101,AV,1,Low,NASDAQ,2025-09-04,USD,230.78
AMZN,101,AV,1,Open,NASDAQ,2025-09-05,USD,235.19
AMZN,101,AV,1,Close,NASDAQ,2025-09-05,USD,232.33
AMZN,101,AV,1,High,NASDAQ,2025-09-05,USD,236.0
AMZN,101,AV,1,Low,NASDAQ,2025-09-05,USD,231.93
AMZN,101,AV,1,Open,NASDAQ,2025-09-08,USD,234.94
AMZN,101,AV,1,Close,NASDAQ,2025-09-08,USD,235.84
AMZN,101,AV,1,High,NASDAQ,2025-09-08,USD,237.6
AMZN,101,AV,1,Low,NASDAQ,2025-09-08,USD,233.75
AMZN,101,AV,1,Open,NASDAQ,2025-09-09,USD,236.355
AMZN,101,AV,1,Close,NASDAQ,2025-09-09,USD,238.24
AMZN,101,AV,1,High,NASDAQ,2025-09-09,USD,238.85
AMZN,101,AV,1,Low,NASDAQ,2025-09-09,USD,235.08
AMZN,101,AV,1,Open,NASDAQ,2025-09-10,USD,237.515
AMZN,101,AV,1,Close,NASDAQ,2025-09-10,USD,230.33
AMZN,101,AV,1,High,NASDAQ,2025-09-10,USD,237.68
AMZN,101,AV,1,Low,NASDAQ,2025-09-10,USD,229.0962
AMZN,101,AV,1,Open,NASDAQ,2025-09-11,USD,231.49
AMZN,101,AV,1,Close,NASDAQ,2025-09-11,USD,229.95
AMZN,101,AV,1,High,NASDAQ,2025-09-11,USD,231.53
AMZN,101,AV,1,Low,NASDAQ,2025-09-11,USD,229.3377
AMZN,101,AV,1,Open,NASDAQ,2025-09-12,USD,230.35
AMZN,101,AV,1,Close,NASDAQ,2025-09-12,USD,228.15
AMZN,101,AV,1,High,NASDAQ,2025-09-12,USD,230.79
AMZN,101,AV,1,Low,NASDAQ,2025-09-12,USD,226.29
AMZN,101,AV,1,Open,NASDAQ,2025-09-15,USD,230.625
AMZN,101,AV,1,Close,NASDAQ,2025-09-15,USD,231.43
AMZN,101,AV,1,High,NASDAQ,2025-09-15,USD,233.73
AMZN,101,AV,1,Low,NASDAQ,2025-09-15,USD,230.32
AMZN,101,AV,1,Open,NASDAQ,2025-09-16,USD,232.935
AMZN,101,AV,1,Close,NASDAQ,2025-09-16,USD,234.05
AMZN,101,AV,1,High,NASDAQ,2025-09-16,USD,235.9
AMZN,101,AV,1,Low,NASDAQ,2025-09-16,USD,232.23
AMZN,101,AV,1,Open,NASDAQ,2025-09-17,USD,233.77
AMZN,101,AV,1,Close,NASDAQ,2025-09-17,USD,231.62
AMZN,101,AV,1,High,NASDAQ,2025-09-17,USD,234.3
AMZN,101,AV,1,Low,NASDAQ,2025-09-17,USD,228.71
AMZN,101,AV,1,Open,NASDAQ,2025-09-18,USD,232.5
AMZN,101,AV,1,Close,NASDAQ,2025-09-18,USD,231.23
AMZN,101,AV,1,High,NASDAQ,2025-09-18,USD,233.48
AMZN,101,AV,1,Low,NASDAQ,2025-09-18,USD,228.79
AMZN,101,AV,1,Open,NASDAQ,2025-09-19,USD,232.37
AMZN,101,AV,1,Close,NASDAQ,2025-09-19,USD,231.48
AMZN,101,AV,1,High,NASDAQ,2025-09-19,USD,234.16
AMZN,101,AV,1,Low,NASDAQ,2025-09-19,USD,229.7
AMZN,101,AV,1,Open,NASDAQ,2025-09-22,USD,230.56
AMZN,101,AV,1,Close,NASDAQ,2025-09-22,USD,227.63
AMZN,101,AV,1,High,NASDAQ,2025-09-22,USD,230.565
AMZN,101,AV,1,Low,NASDAQ,2025-09-22,USD,227.51
AMZN,101,AV,1,Open,NASDAQ,2025-09-23,USD,227.83
AMZN,101,AV,1,Close,NASDAQ,2025-09-23,USD,220.71
AMZN,101,AV,1,High,NASDAQ,2025-09-23,USD,227.86
AMZN,101,AV,1,Low,NASDAQ,2025-09-23,USD,220.07
AMZN,101,AV,1,Open,NASDAQ,2025-09-24,USD,224.15
AMZN,101,AV,1,Close,NASDAQ,2025-09-24,USD,220.21
AMZN,101,AV,1,High,NASDAQ,2025-09-24,USD,224.56
AMZN,101,AV,1,Low,NASDAQ,2025-09-24,USD,219.45
AMZN,101,AV,1,Open,NASDAQ,2025-09-25,USD,220.06
AMZN,101,AV,1,Close,NASDAQ,2025-09-25,USD,218.15
AMZN,101,AV,1,High,NASDAQ,2025-09-25,USD,220.67
AMZN,101,AV,1,Low,NASDAQ,2025-09-25,USD,216.47
AMZN,101,AV,1,Open,NASDAQ,2025-09-26,USD,219.08
AMZN,101,AV,1,Close,NASDAQ,2025-09-26,USD,219.78
AMZN,101,AV,1,High,NASDAQ,2025-09-26,USD,221.05
AMZN,101,AV,1,Low,NASDAQ,2025-09-26,USD,218.02
AMZN,101,AV,1,Open,NASDAQ,2025-09-29,USD,220.08
AMZN,101,AV,1,Close,NASDAQ,2025-09-29,USD,222.17
AMZN,101,AV,1,High,NASDAQ,2025-09-29,USD,222.6
AMZN,101,AV,1,Low,NASDAQ,2025-09-29,USD,219.3
AMZN,101,AV,1,Open,NASDAQ,2025-09-30,USD,222.03
AMZN,101,AV,1,Close,NASDAQ,2025-09-30,USD,219.57
AMZN,101,AV,1,High,NASDAQ,2025-09-30,USD,222.24
AMZN,101,AV,1,Low,NASDAQ,2025-09-30,USD,217.89
GOOGL,101,AV,1,Open,NASDAQ,2025-09-02,USD,208.44
GOOGL,101,AV,1,Close,NASDAQ,2025-09-02,USD,211.35
GOOGL,101,AV,1,High,NASDAQ,2025-09-02,USD,211.675
